Title,Price,SKU#,Article-Code,Availability,Sizes,URL
MEHNDI GREEN COTTON DIP-DYE CASUAL SHORT KURTA,"PKR 4,990.00",J-10000154807,JJSHK-S-47539/S25/JJ10100-PN,In stock,"S,M,L,XL",https://www.junaidjamshed.com/mehndi-green-cotton-dip-dye-casual-short-kurta-jjshks47539.html
MIDNIGHT OUD,"PKR 3,000.00",10000027020,MIDNIGHT OUD,In stock,,https://www.junaidjamshed.com/midnight-oud.html
KHUMAR RED,"PKR 5,000.00",10000006049,KHUMAR RED,In stock,,https://www.junaidjamshed.com/khumar-red-100ml.html
1 - POUR HOMME,PKR 900.00,PM173566-10M-999-M,1 - P/HOMME,In stock,,https://www.junaidjamshed.com/1-pour-homme.html
DENIM BLUE COTTON CASUAL KURTA,"PKR 4,990.00",J-10000146428,JJK-A-33497/S25/JJ10023-CL,In stock,"S,M,L,XL",https://www.junaidjamshed.com/denim-blue-cotton-casual-kurta-jjka33497.html
2 - POUR HOMME,PKR 900.00,PM173568-10M-999-M,2 - P/HOMME,In stock,,https://www.junaidjamshed.com/2-pour-homme.html
3 - POUR HOMME,PKR 900.00,PM173569-10M-999-M,3 - P/HOMME,In stock,,https://www.junaidjamshed.com/3-pour-homme.html
BROWN COTTON DIP-DYE CASUAL SHORT KURTA,"PKR 4,990.00",J-10000154801,JJSHK-S-47538/S25/JJ10100-PN,In stock,"S,M,L,XL",https://www.junaidjamshed.com/brown-cotton-dip-dye-casual-short-kurta-jjshks47538.html
PINK DIGITAL PRINTED CAMBRIC 3PC STITCHED,"PKR 8,490.00",J-10000161233,JLAWN-S-25-953/S SOFT FLORALS-1,In stock,"XS,S,M,L,XL,XXL",https://www.junaidjamshed.com/pink-digital-printed-cambric-3pc-stitched-jl25953s.html
TEAL EMBROIDERED CAMBRIC 3PC STITCHED,"PKR 9,990.00",J-10000150403,JLAWN-S-25-970/S CORD ART-06,In stock,"XS,S,M,L,XL,XXL",https://www.junaidjamshed.com/teal-embroidered-cambric-3pc-stitched-jl25970s.html
